dataset,role,arm,pooling,head,n_orig_test,n_clean_test,orig_full_mcc,orig_full_auroc,orig_on_clean_mcc,orig_on_clean_auroc,clean_on_clean_mcc,clean_on_clean_auroc,unpaired_delta_mcc,unpaired_delta_auroc,paired_delta_mcc,paired_delta_mcc_ci,paired_delta_auroc,paired_delta_auroc_ci,test_effect_mcc,test_effect_mcc_ci,test_effect_auroc,test_effect_auroc_ci
nt_enhancers,contaminated,comp_equalized,sep,lgbm,400,236,0.486,0.7997,0.2235,0.6653,-0.0277,0.6389,-0.5137,-0.1608,-0.2512,"[-0.391,-0.095]",-0.0264,"[-0.141,0.087]",-0.2625,"[-0.392,-0.150]",-0.1344,"[-0.206,-0.068]"
nt_enhancers,contaminated,tata_flag,sep,lr,400,351,0.3902,0.7461,0.3513,0.7289,0.3296,0.7222,-0.0606,-0.0239,-0.0218,"[-0.076,0.032]",-0.0067,"[-0.012,-0.002]",-0.0388,"[-0.075,-0.007]",-0.0172,"[-0.034,0.000]"
nt_enhancers,contaminated,gc_match,sep,lr,400,303,0.3902,0.7461,0.2208,0.649,0.0363,0.6043,-0.3539,-0.1418,-0.1845,"[-0.306,-0.066]",-0.0447,"[-0.073,-0.019]",-0.1694,"[-0.230,-0.106]",-0.0971,"[-0.128,-0.067]"
nt_enhancers,contaminated,comp_equalized,sep,lr,400,236,0.3902,0.7461,0.1197,0.586,0.0,0.5464,-0.3902,-0.1997,-0.1197,"[-0.256,0.019]",-0.0396,"[-0.150,0.077]",-0.2705,"[-0.384,-0.162]",-0.1601,"[-0.249,-0.084]"
drosophila_enhancers_stark,clean control,tata_flag,mean,lgbm,1730,1730,0.3455,0.7277,0.3455,0.7277,0.3455,0.7277,0.0,0.0,0.0,"[0.000,0.000]",0.0,"[0.000,0.000]",0.0,"[0.000,0.000]",0.0,"[0.000,0.000]"
drosophila_enhancers_stark,clean control,gc_match,mean,lgbm,1730,1592,0.3455,0.7277,0.2914,0.6892,0.2837,0.6864,-0.0618,-0.0413,-0.0076,"[-0.045,0.030]",-0.0027,"[-0.017,0.012]",-0.0541,"[-0.068,-0.042]",-0.0385,"[-0.047,-0.030]"
drosophila_enhancers_stark,clean control,comp_equalized,mean,lgbm,1730,1082,0.3455,0.7277,0.1857,0.6398,0.2078,0.6375,-0.1377,-0.0902,0.0221,"[-0.046,0.085]",-0.0023,"[-0.036,0.030]",-0.1598,"[-0.207,-0.112]",-0.0878,"[-0.124,-0.056]"
drosophila_enhancers_stark,clean control,tata_flag,mean,lr,1730,1730,0.0593,0.5408,0.0593,0.5408,0.0593,0.5408,0.0,0.0,0.0,"[0.000,0.000]",0.0,"[0.000,0.000]",0.0,"[0.000,0.000]",0.0,"[0.000,0.000]"
drosophila_enhancers_stark,clean control,gc_match,mean,lr,1730,1592,0.0593,0.5408,0.0315,0.522,0.0,0.5885,-0.0593,0.0477,-0.0315,"[-0.083,0.018]",0.0666,"[0.021,0.115]",-0.0278,"[-0.043,-0.014]",-0.0188,"[-0.033,-0.006]"
drosophila_enhancers_stark,clean control,comp_equalized,mean,lr,1730,1082,0.0593,0.5408,0.0231,0.5076,0.0,0.5168,-0.0593,-0.024,-0.0231,"[-0.087,0.039]",0.0092,"[-0.083,0.099]",-0.0362,"[-0.082,0.011]",-0.0332,"[-0.071,0.005]"
drosophila_enhancers_stark,clean control,tata_flag,sep,lgbm,1730,1730,0.207,0.6775,0.207,0.6775,0.207,0.6775,0.0,0.0,0.0,"[0.000,0.000]",0.0,"[0.000,0.000]",0.0,"[0.000,0.000]",0.0,"[0.000,0.000]"
drosophila_enhancers_stark,clean control,gc_match,sep,lgbm,1730,1592,0.207,0.6775,0.2149,0.683,0.2239,0.6764,0.0169,-0.0011,0.009,"[-0.033,0.050]",-0.0066,"[-0.021,0.007]",0.0079,"[-0.006,0.022]",0.0055,"[-0.003,0.014]"
drosophila_enhancers_stark,clean control,comp_equalized,sep,lgbm,1730,1082,0.207,0.6775,0.1694,0.6757,0.2122,0.6693,0.0052,-0.0082,0.0428,"[-0.026,0.112]",-0.0064,"[-0.035,0.022]",-0.0376,"[-0.081,0.007]",-0.0018,"[-0.036,0.028]"
drosophila_enhancers_stark,clean control,tata_flag,sep,lr,1730,1730,0.2336,0.6479,0.2336,0.6479,0.2336,0.6479,0.0,0.0,0.0,"[0.000,0.000]",0.0,"[0.000,0.000]",0.0,"[0.000,0.000]",0.0,"[0.000,0.000]"
drosophila_enhancers_stark,clean control,gc_match,sep,lr,1730,1592,0.2336,0.6479,0.2376,0.6519,0.2515,0.6507,0.0179,0.0028,0.0139,"[-0.021,0.048]",-0.0012,"[-0.006,0.004]",0.004,"[-0.009,0.018]",0.004,"[-0.004,0.013]"
drosophila_enhancers_stark,clean control,comp_equalized,sep,lr,1730,1082,0.2336,0.6479,0.1852,0.6404,0.234,0.6376,0.0004,-0.0103,0.0489,"[-0.031,0.132]",-0.0028,"[-0.016,0.011]",-0.0484,"[-0.094,-0.001]",-0.0074,"[-0.044,0.030]"
