motif,motif_ic,motif_len,seed,p_pos,p_neg,motif_auroc_d,bench_mcc,n_train,n_test
MYC,10.96,8,45,0.8,0.0,0.8053,0.5785,1600,400
MYC,10.96,8,45,1.0,0.0,0.8646,0.6942,1600,400
MYC,10.96,8,46,0.0,0.0,0.5041,0.1052,1600,400
MYC,10.96,8,46,0.05,0.0,0.5152,0.035,1600,400
MYC,10.96,8,46,0.1,0.0,0.54,-0.06,1600,400
MYC,10.96,8,46,0.2,0.0,0.5821,0.0851,1600,400
MYC,10.96,8,46,0.3,0.0,0.6017,0.2012,1600,400
MYC,10.96,8,46,0.45,0.0,0.6771,0.2461,1600,400
MYC,10.96,8,46,0.6,0.0,0.7122,0.3895,1600,400
MYC,10.96,8,46,0.8,0.0,0.7819,0.5388,1600,400
MYC,10.96,8,46,1.0,0.0,0.8544,0.6731,1600,400
TBP,8.84,7,42,0.0,0.0,0.5072,-0.02,1600,400
TBP,8.84,7,42,0.05,0.0,0.5023,0.0,1600,400
TBP,8.84,7,42,0.1,0.0,0.5382,0.02,1600,400
TBP,8.84,7,42,0.2,0.0,0.5719,0.0803,1600,400
TBP,8.84,7,42,0.3,0.0,0.605,0.1305,1600,400
TBP,8.84,7,42,0.45,0.0,0.6223,0.1374,1600,400
TBP,8.84,7,42,0.6,0.0,0.7016,0.3154,1600,400
TBP,8.84,7,42,0.8,0.0,0.7462,0.4545,1600,400
TBP,8.84,7,42,1.0,0.0,0.8018,0.5877,1600,400
TBP,8.84,7,43,0.0,0.0,0.4942,-0.0302,1600,400
TBP,8.84,7,43,0.05,0.0,0.5138,-0.035,1600,400
TBP,8.84,7,43,0.1,0.0,0.5411,-0.0701,1600,400
TBP,8.84,7,43,0.2,0.0,0.5446,-0.01,1600,400
TBP,8.84,7,43,0.3,0.0,0.587,0.0401,1600,400
TBP,8.84,7,43,0.45,0.0,0.6498,0.189,1600,400
TBP,8.84,7,43,0.6,0.0,0.6948,0.274,1600,400
TBP,8.84,7,43,0.8,0.0,0.7518,0.4331,1600,400
TBP,8.84,7,43,1.0,0.0,0.7996,0.5735,1600,400
TBP,8.84,7,44,0.0,0.0,0.5084,0.03,1600,400
TBP,8.84,7,44,0.05,0.0,0.5027,-0.0903,1600,400
TBP,8.84,7,44,0.1,0.0,0.5408,0.015,1600,400
TBP,8.84,7,44,0.2,0.0,0.5605,0.005,1600,400
TBP,8.84,7,44,0.3,0.0,0.5974,0.08,1600,400
TBP,8.84,7,44,0.45,0.0,0.6431,0.1663,1600,400
TBP,8.84,7,44,0.6,0.0,0.6771,0.2982,1600,400
TBP,8.84,7,44,0.8,0.0,0.7741,0.463,1600,400
TBP,8.84,7,44,1.0,0.0,0.8078,0.6024,1600,400
TBP,8.84,7,45,0.0,0.0,0.502,0.025,1600,400
TBP,8.84,7,45,0.05,0.0,0.5115,0.055,1600,400
TBP,8.84,7,45,0.1,0.0,0.5377,-0.09,1600,400
TBP,8.84,7,45,0.2,0.0,0.5641,-0.005,1600,400
TBP,8.84,7,45,0.3,0.0,0.5895,0.0903,1600,400
TBP,8.84,7,45,0.45,0.0,0.6409,0.2188,1600,400
TBP,8.84,7,45,0.6,0.0,0.6897,0.2943,1600,400
TBP,8.84,7,45,0.8,0.0,0.74,0.4325,1600,400
TBP,8.84,7,45,1.0,0.0,0.8041,0.5493,1600,400
TBP,8.84,7,46,0.0,0.0,0.4946,0.1052,1600,400
TBP,8.84,7,46,0.05,0.0,0.5171,0.0751,1600,400
TBP,8.84,7,46,0.1,0.0,0.5228,-0.01,1600,400
TBP,8.84,7,46,0.2,0.0,0.5592,-0.015,1600,400
TBP,8.84,7,46,0.3,0.0,0.5885,0.0651,1600,400
TBP,8.84,7,46,0.45,0.0,0.6323,0.2078,1600,400
TBP,8.84,7,46,0.6,0.0,0.6902,0.3158,1600,400
TBP,8.84,7,46,0.8,0.0,0.7459,0.4342,1600,400
TBP,8.84,7,46,1.0,0.0,0.809,0.5688,1600,400
