model,dataset,arm,pooling,head,n_orig_test,n_clean_test,n_removed,orig_full_auroc,orig_on_clean_auroc,test_effect_auroc,test_effect_auroc_ci,placebo_seed_range,rep_gc_gap
dnabert2-117m,human_enhancers_cohn,gc_match,mean,lgbm,6948,5800,1148,0.8309,0.7842,-0.0467,"[-0.0516,-0.0419]",,0.0005
dnabert2-117m,human_enhancers_cohn,placebo,mean,lgbm,6948,5800,1148,0.8309,0.8302,-0.0006,"[-0.0058,0.0043]","[-0.0053,+0.0026]",0.0005
dnabert2-117m,human_enhancers_cohn,gc_match,mean,lr,6948,5800,1148,0.8331,0.7845,-0.0486,"[-0.0530,-0.0438]",,0.0005
dnabert2-117m,human_enhancers_cohn,placebo,mean,lr,6948,5800,1148,0.8331,0.8331,0.0001,"[-0.0050,0.0052]","[-0.0050,+0.0030]",0.0005
dnabert2-117m,human_enhancers_cohn,gc_match,cls,lgbm,6948,5800,1148,0.8041,0.7576,-0.0465,"[-0.0515,-0.0417]",,0.0005
dnabert2-117m,human_enhancers_cohn,placebo,cls,lgbm,6948,5800,1148,0.8041,0.8045,0.0004,"[-0.0051,0.0053]","[-0.0063,+0.0018]",0.0005
dnabert2-117m,human_enhancers_cohn,gc_match,cls,lr,6948,5800,1148,0.8188,0.7716,-0.0472,"[-0.0520,-0.0423]",,0.0005
dnabert2-117m,human_enhancers_cohn,placebo,cls,lr,6948,5800,1148,0.8188,0.8186,-0.0002,"[-0.0055,0.0049]","[-0.0047,+0.0025]",0.0005
